latitud,provincia,altitud,indicativo,nombre,indsinop,longitud,id
431825N,A CORUÑA,98,1387E,A CORUÑA AEROPUERTO,08002,082219W,0
432157N,A CORUÑA,58,1387,A CORUÑA,08001,082517W,1
430938N,A CORUÑA,50,1393,CABO VILÁN,08006,091239W,2
434710N,A CORUÑA,90,1351,ESTACA DE BARES,08004,074106W,3
425529N,A CORUÑA,230,1400,FISTERRA,08040,091729W,4
424314N,A CORUÑA,685,1437O,MONTE IROITE,08043,085524W,5
424418N,A CORUÑA,100,1473A,PADRÓN,08039,083738W,6
425317N,A CORUÑA,370,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,08042,082438W,7
425234N,A CORUÑA,240,1475X,SANTIAGO DE COMPOSTELA,08041,083321W,8
430641N,LUGO,445,1505,LUGO AEROPUERTO,08008,072727W,9
422022N,OURENSE,840,1631E,A POBRA DE TRIVES,08051,071657W,10
422517N,OURENSE,400,1700X,O CARBALLIÑO,08047,080533W,11
421931N,OURENSE,143,1690A,OURENSE,08048,075135W,12
420445N,OURENSE,616,1735X,XINZO DE LIMIA,08050,074401W,13
422618N,PONTEVEDRA,108,1484C,PONTEVEDRA,08044,083657W,14
421419N,PONTEVEDRA,255,1495,VIGO AEROPUERTO,08045,083726W,15
